,id,value
289,EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population)
290,EN.URB.LCTY,Population in largest city
291,EN.URB.LCTY.UR.ZS,Population in the largest city (% of urban population)
292,EN.URB.MCTY,Population in urban agglomerations of more than 1 million
293,EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population)
294,ER.FSH.AQUA.MT,Aquaculture production (metric tons)
295,ER.FSH.CAPT.MT,Capture fisheries production (metric tons)
296,ER.FSH.PROD.MT,Total fisheries production (metric tons)
297,ER.GDP.FWTL.M3.KD,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)"
298,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
299,ER.H2O.FWDM.ZS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
300,ER.H2O.FWIN.ZS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
301,ER.H2O.FWST.ZS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
302,ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)"
303,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)"
304,ER.H2O.INTR.K3,"Renewable internal freshwater resources, total (billion cubic meters)"
305,ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters)
306,ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area)
307,ER.MRN.PTMR.ZS,Marine protected areas (% of territorial waters)
308,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area)
309,FB.AST.NPER.ZS,Bank nonperforming loans to total gross loans (%)
310,FB.ATM.TOTL.P5,"Automated teller machines (ATMs) (per 100,000 adults)"
311,FB.BNK.CAPA.ZS,Bank capital to assets ratio (%)
312,FB.CBK.BRCH.P5,"Commercial bank branches (per 100,000 adults)"
313,FB.CBK.BRWR.P3,"Borrowers from commercial banks (per 1,000 adults)"
314,FB.CBK.DPTR.P3,"Depositors with commercial banks (per 1,000 adults)"
315,FD.AST.PRVT.GD.ZS,Domestic credit to private sector by banks (% of GDP)
316,FD.RES.LIQU.AS.ZS,Bank liquid reserves to bank assets ratio (%)
317,FI.RES.TOTL.CD,"Total reserves (includes gold, current US$)"
318,FI.RES.TOTL.DT.ZS,Total reserves (% of total external debt)
319,FI.RES.TOTL.MO,Total reserves in months of imports
320,FI.RES.XGLD.CD,Total reserves minus gold (current US$)
321,FM.AST.CGOV.ZG.M3,Claims on central government (annual growth as % of broad money)
322,FM.AST.DOMO.ZG.M3,Claims on other sectors of the domestic economy (annual growth as % of broad money)
323,FM.AST.DOMS.CN,Net domestic credit (current LCU)
324,FM.AST.NFRG.CN,Net foreign assets (current LCU)
325,FM.AST.PRVT.GD.ZS,Monetary Sector credit to private sector (% GDP)
326,FM.AST.PRVT.ZG.M3,Claims on private sector (annual growth as % of broad money)
327,FM.LBL.BMNY.CN,Broad money (current LCU)
